StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40_1,Q40_2,Q41,Q42,Q43,Q44,Q45,Q46,Q47,Q48
3/3/21 17:04,3/3/21 17:08,100,208,TRUE,3/3/21 17:08,R_xGFqu9pP7rIX4DD,EN,A little healthy,Very often,Rarely,Very often,Very Often,Rarely,Sometimes,Yes,Sometimes,,Sometimes,Rarely,Some,Some,Very often,Rarely,Sometimes,Rarely,Sometimes,Rarely,Very,Very often,Sometimes,Less than once a month,Sometimes,Never,Never,Rarely,Never,Some,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Worsened,My skin ,My height,Hair,Body,No,No,,No,,...fifth year or more,Female,22
3/3/21 17:04,3/3/21 17:08,100,220,TRUE,3/3/21 17:08,R_1oGNYFI0vusJIPM,EN,A little healthy,Very often,Very often,Sometimes,Extremely often,Rarely,Sometimes,Yes,Never,,Never,Very often,Some,Some,Very often,Very often,Very often,Never,Never,Very often,Not at all,Sometimes,Sometimes,Less than once a month,Very often,Never,Never,Rarely,Rarely,A few,Rarely,Sometimes,Rarely,Rarely,Never,Rarely,Worsened,Build,Weight,Body,Face,No,No,,Yes,Anorexia,...third year,Female,21
3/3/21 17:04,3/3/21 17:08,100,233,TRUE,3/3/21 17:08,R_3OpjPFTvL31s6p9,EN,A little healthy,Very often,Never,Rarely,Sometimes,Never,Sometimes,Yes,Never,,Never,Never,Not at all,A little,Very often,Rarely,Never,Rarely,Rarely,Not applicable,Somewhat,Sometimes,Never,Once or twice a month,Rarely,Never,Never,Rarely,Never,A few,Sometimes,Very often,Never,Very often,Sometimes,Sometimes,Worsened,My hair,"Double chin,  acne, weight",,,No,No,,No,,...first year,Female,18
3/3/21 17:04,3/3/21 17:08,100,245,TRUE,3/3/21 17:08,R_3fx2C3AEierYrD3,EN,Not at all healthy,Always,Very often,Extremely often,Extremely often,Extremely often,Extremely often,Yes,Rarely,,Very often,Always,Quite a bit,A great deal,Always,Very often,Extremely often,Very often,Always,Never,Slightly,Sometimes,Extremely often,More than once a day,Extremely often,Never,Never,Sometimes,Rarely,None,Sometimes,Sometimes,Rarely,Sometimes,Very often,Sometimes,Worsened,eyes,stomach,stomach,thighs,No,Yes,therapist,No,,...second year,Female,20
3/3/21 17:04,3/3/21 17:08,100,207,TRUE,3/3/21 17:08,R_2uyxddSZv5XuIml,EN,Not at all healthy,Always,Very often,Extremely often,Extremely often,Very often,Rarely,Yes,Very often,,Rarely,Never,A great deal,A great deal,Always,Extremely often,Extremely often,Extremely often,Always,Rarely,Not at all,Very often,Extremely often,More than once a day,Extremely often,Never,Very often,Never,Never,Some,Sometimes,Very often,Never,Extremely often,Extremely often,Sometimes,Worsened,,Stomach,Stomach,Acne,No,No,,Yes,Anorexia/Bulimia,...first year,Female,18
3/3/21 17:04,3/3/21 17:08,100,236,TRUE,3/3/21 17:08,R_3DuNjSn3CqXHLBz,EN,Somewhat healthy,Sometimes,Sometimes,Sometimes,Very Often,Never,Rarely,No,,Rarely,Rarely,Never,Not at all,Not at all,Always,Extremely often,Very often,Sometimes,Sometimes,Never,Somewhat,Very often,Very often,Once a week,Sometimes,Never,Never,Never,Never,All,Very often,Extremely often,Rarely,Never,Very often,Sometimes,Worsened,My hair,My thighs ,Stomach,Thighs,No,No,,No,,...first year,Female,19
3/3/21 17:04,3/3/21 17:08,100,236,TRUE,3/3/21 17:08,R_3kIdqhL5og9OdW3,EN,Somewhat healthy,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Yes,Never,,Rarely,Rarely,A little,A little,Very often,Very often,Very often,Rarely,Sometimes,Never,Slightly,Sometimes,Rarely,Less than once a month,Rarely,Never,Never,Rarely,Sometimes,A few,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Stayed about the same,Face,Stomach,Face,Hair,No,Yes,Therapy,No,,...first year,Nonbinary,30
3/3/21 17:04,3/3/21 17:08,100,260,TRUE,3/3/21 17:08,R_1DIoMcgKXHwgbDk,EN,Somewhat healthy,Sometimes,Rarely,Sometimes,Sometimes,Never,Sometimes,Yes,Never,,Never,Never,A little,A little,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Never,Extremely,Sometimes,Sometimes,Once or twice a month,Sometimes,Very often,Never,Rarely,Rarely,Most,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Worsened,Lower Body,Mid Section,Stomach,Legs,No,No,,No,,...graduate student pursuing a Masters or PhD,Male,29
3/3/21 17:04,3/3/21 17:08,100,242,TRUE,3/3/21 17:08,R_2QrN2pAW72UujM1,EN,A little healthy,Always,Sometimes,Very often,Extremely often,Rarely,Very often,Yes,Sometimes,,Sometimes,Sometimes,Some,Quite a bit,Always,Never,Extremely often,Extremely often,Very often,Not applicable,Not at all,Very often,Very often,Once a day,Very often,Never,Never,Rarely,Rarely,Most,Sometimes,Very often,Rarely,Very often,Extremely often,Rarely,Worsened,Calves,Stomach,Chest,Stomach,No,No,,No,,...fourth year,Male,22
3/3/21 17:04,3/3/21 17:08,100,218,TRUE,3/3/21 17:08,R_3Hif1oummBMuv25,EN,Not at all healthy,Always,Sometimes,Extremely often,Extremely often,Sometimes,Very often,No,,Sometimes,Always,Not applicable,Quite a bit,Some,Sometimes,Never,Sometimes,Never,Always,Never,Extremely,Rarely,Extremely often,Less than once a month,Extremely often,Never,Never,Never,Never,Some,Rarely,Rarely,Never,Sometimes,Very often,Sometimes,Stayed about the same,eyes,Body,Hair,Stomach ,No,No,,No,,...second year,Female,19
3/3/21 17:04,3/3/21 17:08,100,242,TRUE,3/3/21 17:08,R_1gSIwJffWVtQNao,EN,Very healthy,Rarely,Very often,Sometimes,Sometimes,Never,Rarely,No,,Never,Never,Never,Not at all,Not at all,Very often,Rarely,Rarely,Rarely,Rarely,Not applicable,Very,Very often,Very often,Once a week,Never,Never,Never,Never,Never,Some,Very often,Sometimes,Sometimes,Never,Sometimes,Sometimes,Stayed about the same,Proportionately ,Stomach ,Teeth / hygiene ,Stomach ,No,No,,No,,...first year,Female,19
3/3/21 17:04,3/3/21 17:08,100,258,TRUE,3/3/21 17:08,R_2S6t3DbJasm37DY,EN,Very healthy,Never,Never,Never,Rarely,Never,Never,Yes,Never,,Never,Not applicable,Not at all,Not at all,Sometimes,Rarely,Rarely,Never,Never,Not applicable,Very,Rarely,Sometimes,Less than once a month,Never,Never,Never,Never,Never,Most,Rarely,Rarely,Never,Never,Never,Never,Stayed about the same,My maintaining weight and not gaining just fat,Lack of abs,Biceps,Triceps,No,No,,No,,...first year,Male,18
3/3/21 17:04,3/3/21 17:08,100,239,TRUE,3/3/21 17:08,R_1ovEzlAECW01kdC,EN,Very healthy,Sometimes,Rarely,Sometimes,Sometimes,Never,Never,Yes,Never,,Never,Not applicable,Not at all,A little,Always,Very often,Rarely,Never,Never,Rarely,Somewhat,Very often,Very often,Less than once a month,Sometimes,Never,Never,Never,Never,Some,Never,Never,Never,Never,Never,Never,Stayed about the same,Arms,Legs,Arms,Legs,No,No,,No,,...third year,Female,21
3/3/21 17:03,3/3/21 17:08,100,271,TRUE,3/3/21 17:08,R_1LA2QqkLUd7ZypV,EN,Somewhat healthy,Always,Very often,Very often,Very Often,Sometimes,Very often,No,,Sometimes,Very often,Not applicable,Some,Some,Always,Very often,Very often,Very often,Always,Never,Somewhat,Rarely,Very often,Once a week,Very often,Never,Never,Never,Never,A few,Very often,Very often,Rarely,Very often,Very often,Very often,Stayed about the same,My legs,everything above my hips,chest,waist,No,No,,No,,...first year,Nonbinary,18
3/3/21 17:04,3/3/21 17:08,100,224,TRUE,3/3/21 17:08,R_3EZqGvlVje8RYs6,EN,Very healthy,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Very often,Yes,Rarely,,Rarely,Always,A little,A little,Sometimes,Sometimes,Never,Rarely,Sometimes,Not applicable,Slightly,Sometimes,Sometimes,Less than once a month,Rarely,Never,Never,Rarely,Rarely,A few,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Worsened,my eyes,my muffin top,face,hands,No,No,,No,,...graduate student pursuing a Masters or PhD,Female,23
3/3/21 17:04,3/3/21 17:08,100,254,TRUE,3/3/21 17:08,R_5gKaLcx3CSmZe25,EN,A little healthy,Always,Always,Extremely often,Extremely often,Sometimes,Extremely often,Yes,Very often,,Sometimes,Always,Quite a bit,A great deal,Always,Rarely,Very often,Very often,Very often,Very often,Somewhat,Sometimes,Very often,Less than once a month,Extremely often,Never,Never,Never,Never,Some,Sometimes,Very often,Sometimes,Sometimes,Very often,Sometimes,Worsened,Hands,Stomach,Stomach,Upper arms ,No,No,,No,,...first year,Female,18
3/3/21 17:04,3/3/21 17:08,100,250,TRUE,3/3/21 17:08,R_3PYPainFt5KKXfO,EN,Somewhat healthy,Rarely,Rarely,Rarely,Rarely,Never,Never,Yes,Never,,Never,Never,A little,A little,Sometimes,Sometimes,Rarely,Rarely,Rarely,Not applicable,Slightly,Very often,Rarely,Less than once a month,Never,Rarely,Never,Never,Never,Most,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Improved,my legs,my stomach,biceps,skin,No,No,,No,,...fourth year,Male,21
3/3/21 17:04,3/3/21 17:08,100,222,TRUE,3/3/21 17:08,R_3oNuefFk0wWknEa,EN,Not at all healthy,Very often,Sometimes,Very often,Extremely often,Sometimes,Sometimes,Yes,Sometimes,,Very often,Not applicable,Some,Some,Very often,Very often,Very often,Very often,Sometimes,Never,Somewhat,Rarely,Very often,Once or twice a month,Extremely often,Never,Never,Rarely,Never,Some,Rarely,Sometimes,Rarely,Very often,Very often,Sometimes,Worsened,My eyes and eyebrows.,My torso and legs.,Stomach.,Upper arms.,No,No,,No,,...third year,Female,20
3/3/21 17:04,3/3/21 17:08,100,274,TRUE,3/3/21 17:08,R_305Ka5rW8LrHfAK,EN,Somewhat healthy,Sometimes,Rarely,Sometimes,Sometimes,Never,Sometimes,Yes,Rarely,,Never,Never,A little,A little,Very often,Sometimes,Sometimes,Rarely,Sometimes,Not applicable,Somewhat,Sometimes,Sometimes,Once or twice a month,Sometimes,Rarely,Never,Rarely,Never,Some,Very often,Very often,Never,Never,Sometimes,Sometimes,Worsened,"I'm pretty satisfied with my body overall, most satisfied with my general build and eyes/eyebrows","just the weight i've gained since starting college, which I could be actively changing",stomach ,face/acne,No,No,,No,,...second year,Female,20
3/3/21 17:03,3/3/21 17:08,100,291,TRUE,3/3/21 17:08,R_31vH4Db6JqRsSvH,EN,Not at all healthy,Always,Always,Extremely often,Extremely often,Sometimes,Sometimes,Yes,Sometimes,,Sometimes,Rarely,A great deal,A great deal,Always,Extremely often,Very often,Sometimes,Sometimes,Never,Very,Very often,Extremely often,Less than once a month,Extremely often,Never,Sometimes,Rarely,Never,Some,Rarely,Rarely,Sometimes,Extremely often,Rarely,Sometimes,Worsened,legs,stomach/butt,stomach,butt,Yes,Yes,"therapy, nutritionist ",Yes,"anorexia, binging, body dysmorphia ",...first year,Female,19
3/3/21 17:04,3/3/21 17:08,100,226,TRUE,3/3/21 17:08,R_2z8YyrIVu3vLQjV,EN,Very healthy,Very often,Sometimes,Sometimes,Sometimes,Never,Rarely,Yes,Rarely,,Never,Never,A little,A little,Very often,Rarely,Sometimes,Never,Never,Never,Very,Very often,Sometimes,Less than once a month,Sometimes,Never,Never,Never,Never,A few,Sometimes,Rarely,Never,Never,Never,Rarely,Worsened,Smile,stomach,Stomach,arms,No,No,,No,,...graduate student pursuing a Masters or PhD,Female,24
3/3/21 17:04,3/3/21 17:08,100,255,TRUE,3/3/21 17:08,R_SPHChI3Fv6E0iSl,EN,Very healthy,Sometimes,Rarely,Sometimes,Very Often,Never,Sometimes,Yes,Rarely,,Rarely,Rarely,A little,Some,Always,Sometimes,Sometimes,Very often,Very often,Never,Slightly,Very often,Rarely,Once a day,Rarely,Never,Never,Rarely,Sometimes,Some,Very often,Very often,Sometimes,Rarely,Sometimes,Very often,Stayed about the same,eyes,neck,lips,hair,Yes,Yes,"therapist, nutritionist",Yes,anorexia and bulimia,...graduate student pursuing a Masters or PhD,Nonbinary,26
3/3/21 17:03,3/3/21 17:08,100,293,TRUE,3/3/21 17:08,R_2157S2O4FsGvfoK,EN,Extremely healthy,Rarely,Never,Rarely,Rarely,Never,Never,Yes,Rarely,,Never,Never,Not at all,Not at all,Sometimes,Never,Never,Never,Never,Never,Slightly,Rarely,Never,Less than once a month,Never,Never,Never,Never,Never,Some,Sometimes,Rarely,Rarely,Never,Never,Sometimes,Improved,my nails,my skin,hair,skin,No,No,,No,,...graduate student pursuing a Masters or PhD,Female,27
3/3/21 17:04,3/3/21 17:08,100,246,TRUE,3/3/21 17:08,R_4ORSDONRwky95Lz,EN,Somewhat healthy,Sometimes,Rarely,Never,Sometimes,Never,Sometimes,No,,Never,Never,Not applicable,A little,A little,Sometimes,Never,Never,Sometimes,Sometimes,Not applicable,Somewhat,Never,,Once a day,Rarely,Never,Never,Never,Never,All,Rarely,Rarely,Never,Rarely,Rarely,Sometimes,Stayed about the same,Hair ,Body fat percentage ,Hair,"Skin (acne, dryness)",No,No,,No,,...second year,Male,20
3/3/21 17:03,3/3/21 17:08,100,288,TRUE,3/3/21 17:08,R_1Cr8Etj9GV2Nfse,EN,Somewhat healthy,Very often,Sometimes,Sometimes,Very Often,Rarely,Sometimes,Yes,Rarely,,Rarely,Never,A little,Some,Very often,Very often,Very often,Very often,Very often,Rarely,Very,Very often,Sometimes,Less than once a month,Rarely,Never,Never,Sometimes,Rarely,Some,Sometimes,Sometimes,Never,Never,Sometimes,Rarely,Worsened,Face,Abdomen,Legs,Abdomen,No,No,,No,,...third year,Female,21
3/3/21 17:04,3/3/21 17:08,100,278,TRUE,3/3/21 17:08,R_2TFrDEplIS9opjB,EN,Somewhat healthy,Sometimes,Rarely,Rarely,Sometimes,Rarely,Never,Yes,Rarely,,Rarely,Sometimes,A little,A little,Sometimes,Rarely,Rarely,Sometimes,Rarely,Not applicable,Somewhat,Very often,Sometimes,Less than once a month,Sometimes,Sometimes,Never,Rarely,Sometimes,A few,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Improved,shoulders/arm,chest,chest,stomach,No,No,,No,,...graduate student pursuing a Masters or PhD,Male,26
3/3/21 17:03,3/3/21 17:08,100,296,TRUE,3/3/21 17:08,R_e5s0Ui4gXlo2gvv,EN,Extremely healthy,Never,Never,Never,Never,Never,Never,No,,Never,Never,Not applicable,Not at all,Not at all,Sometimes,Never,Never,Never,Never,Not applicable,Extremely,Extremely often,Extremely often,Once a week,Never,Extremely often,Never,Never,Never,Most,Rarely,Rarely,Never,Never,Never,Rarely,Improved,shoulders,none,arms,abs,No,No,,No,,...fourth year,Male,21
3/3/21 17:04,3/3/21 17:08,100,236,TRUE,3/3/21 17:08,R_3M5JeiFP03beQmT,EN,Very healthy,Sometimes,Sometimes,Sometimes,Sometimes,Never,Rarely,No,,Rarely,Never,Sometimes,Not at all,A little,Very often,Extremely often,Sometimes,Sometimes,Rarely,Sometimes,Somewhat,Very often,Very often,Once or twice a month,Never,Never,Never,Never,Sometimes,Some,Sometimes,Very often,Very often,Rarely,Sometimes,Very often,Stayed about the same,My face,thighs,Stomach,Butt,No,No,,No,,...second year,Female,19
3/3/21 17:04,3/3/21 17:08,100,279,TRUE,3/3/21 17:08,R_1lfQJlvfdd5Fwje,EN,A little healthy,Very often,Sometimes,Very often,Very Often,Sometimes,Extremely often,Yes,Sometimes,,Sometimes,Not applicable,A little,A little,Rarely,Never,Sometimes,Sometimes,Very often,Not applicable,Somewhat,Rarely,Sometimes,Less than once a month,Sometimes,Never,Never,Rarely,Rarely,Some,Sometimes,Sometimes,Never,Very often,Sometimes,Very often,Worsened,skin,size,size,,Yes,Yes,"nutritionist, wellness coach",No,,...graduate student pursuing a Masters or PhD,Female,34
3/3/21 17:04,3/3/21 17:08,100,282,TRUE,3/3/21 17:08,R_2tz2J9iJrINOcTq,EN,A little healthy,Very often,Very often,Very often,Very Often,Rarely,Sometimes,No,,Sometimes,Sometimes,Very often,Quite a bit,Quite a bit,Always,Sometimes,Sometimes,Sometimes,Very often,Rarely,Very,Very often,Very often,Less than once a month,Very often,Never,Rarely,Never,Never,Some,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Worsened,Skin,"Stomach, legs ",Stomach,Legs ,No,No,,No,,...second year,Female,20
3/3/21 17:04,3/3/21 17:08,100,243,TRUE,3/3/21 17:08,R_2WO3FSlcdVagF7c,EN,Not at all healthy,Very often,Sometimes,Very often,Very Often,Sometimes,Extremely often,No,,Very often,Very often,Not applicable,A little,A little,Always,Extremely often,Extremely often,Very often,Always,Always,Slightly,Very often,Extremely often,More than once a day,Very often,Rarely,Never,Never,Sometimes,All,Never,Never,Never,Sometimes,Sometimes,Rarely,Worsened,legs,stomach,stomach,face,No,No,,No,,...first year,Female,18
3/3/21 17:04,3/3/21 17:08,100,287,TRUE,3/3/21 17:08,R_emxcQhDaYFBVX0t,EN,Somewhat healthy,Always,Sometimes,Extremely often,Extremely often,Never,Rarely,Yes,Sometimes,,Sometimes,Never,A great deal,A great deal,Very often,Rarely,Sometimes,Never,Rarely,Rarely,Slightly,Very often,Sometimes,Once or twice a month,Very often,Rarely,Never,Sometimes,Never,A few,Very often,Sometimes,Rarely,Extremely often,Extremely often,Very often,Improved,Stomach,Hips,Hips,Stomach,Yes,Yes,"Eating disorder counseling, nutritionist both at UHS and before",Yes,Anorexia,...third year,Female,20
3/3/21 17:04,3/3/21 17:08,100,245,TRUE,3/3/21 17:08,R_1gvGF664QI4bolf,EN,Somewhat healthy,Rarely,Sometimes,Never,Sometimes,Never,Never,Yes,Rarely,,Never,Never,Not at all,Not at all,Sometimes,Never,Very often,Rarely,Never,Not applicable,Extremely,Extremely often,Very often,Once a week,Never,Sometimes,Never,Never,Never,All,Rarely,Sometimes,Sometimes,Never,Rarely,Sometimes,Improved,Muscle tone,Muscle size,Muscle tone,Muscle size,No,No,,No,,...second year,Male,20
3/3/21 17:05,3/3/21 17:08,100,188,TRUE,3/3/21 17:08,R_XyXTMDOPrHLzCFP,EN,Somewhat healthy,Always,Sometimes,Extremely often,Extremely often,Extremely often,Extremely often,No,,Very often,Very often,Not applicable,Not at all,A little,Very often,Rarely,Extremely often,Rarely,Always,Always,Very,Sometimes,Very often,Less than once a month,Never,Never,Never,Never,Rarely,Some,Sometimes,Sometimes,Rarely,Very often,Extremely often,Very often,Worsened,,,,,No,No,,No,,...graduate student pursuing a Masters or PhD,Female,23
